usia;Kelompok
58        ;Tua                 
14        ;Remaja              
11        ;Kanak-kanak         
42        ;Dewasa              
65        ;Tua                 
78        ;Tua                 
77        ;Tua                 
44        ;Dewasa              
30        ;Dewasa              
5         ;Balita              
32        ;Dewasa              
18        ;Pemuda              
30        ;Dewasa              
58        ;Tua                 
14        ;Remaja              
27        ;Dewasa              
54        ;Dewasa              
3         ;Balita              
11        ;Kanak-kanak         
37        ;Dewasa              
36        ;Dewasa              
60        ;Tua                 
68        ;Tua                 
58        ;Tua                 
33        ;Dewasa              
34        ;Dewasa              
23        ;Pemuda              
30        ;Dewasa              
35        ;Dewasa              
39        ;Dewasa              
49        ;Dewasa              
22        ;Pemuda              
3         ;Balita              
75        ;Tua                 
39        ;Dewasa              
22        ;Pemuda              
25        ;Dewasa              
1         ;Balita              
68        ;Tua                 
15        ;Remaja              
47        ;Dewasa              
73        ;Tua                 
34        ;Dewasa              
73        ;Tua                 
40        ;Dewasa              
62        ;Tua                 
27        ;Dewasa              
4         ;Balita              
69        ;Tua                 
20        ;Pemuda              
27        ;Dewasa              
6         ;Kanak-kanak         
80        ;Tua                 
78        ;Tua                 
57        ;Tua                 
39        ;Dewasa              
35        ;Dewasa              
64        ;Tua                 
35        ;Dewasa              
41        ;Dewasa              
44        ;Dewasa              
9         ;Kanak-kanak         
52        ;Dewasa              
67        ;Tua                 
47        ;Dewasa              
69        ;Tua                 
17        ;Pemuda              
62        ;Tua                 
3         ;Balita              
59        ;Tua                 
50        ;Dewasa              
40        ;Dewasa              
12        ;Remaja              
4         ;Balita              
77        ;Tua                 
43        ;Dewasa              
18        ;Pemuda              
64        ;Tua                 
78        ;Tua                 
57        ;Tua                 
69        ;Tua                 
67        ;Tua                 
73        ;Tua                 
27        ;Dewasa              
50        ;Dewasa              
59        ;Tua                 
55        ;Tua                 
61        ;Tua                 
71        ;Tua                 
27        ;Dewasa              
64        ;Tua                 
65        ;Tua                 
11        ;Kanak-kanak         
29        ;Dewasa              
57        ;Tua                 
78        ;Tua                 
29        ;Dewasa              
7         ;Kanak-kanak         
76        ;Tua                 
4         ;Balita              
